volume,type,publisher,authors,year,eid,title,pages,cited_by_count,number,open_access,topics,journal,doi,concepts
196,journal-article,Elsevier BV,"Orlando, Titziana and Mase, Charlotte and Branfoot, Callum and Piparo, Marco and Focant, Jean-François and Bouyssiere, Brice and Giusti, Pierre",2026,2-s2.0-105034619743,Characterization of the volatile fraction of used wind turbine blade pyrolysis oil by two-dimensional gas chromatography,,0,,False,"['Thermochemical Biomass Conversion Processes', 'Fiber-reinforced polymer composites', 'Natural Fiber Reinforced Composites']",Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2026.107736,"[{'name': 'Pyrolysis', 'score': 0.8230000138282776}, {'name': 'Fraction (chemistry)', 'score': 0.7361999750137329}, {'name': 'Composite number', 'score': 0.5982999801635742}, {'name': 'Gas chromatography', 'score': 0.5586000084877014}, {'name': 'Flame ionization detector', 'score': 0.5267000198364258}, {'name': 'Characterization (materials science)', 'score': 0.489300012588501}, {'name': 'Mass fraction', 'score': 0.4244000017642975}, {'name': 'Chemistry', 'score': 0.4007999897003174}]"
9,journal-article,Elsevier BV,"Giacoppo, Giulia and Mase, Charlotte and Piparo, Marco and Giusti, Pierre and Mangote, Caroline and Branfoot, Callum and Pasti, Luisa and Franchina, Flavio Antonio and Beccaria, Marco",2026,2-s2.0-105024806349,"Preliminary characterization of wind turbine blade waste by solvolysis, microwave-assisted extraction, and comprehensive two-dimensional gas chromatography coupled with time-of-flight mass spectrometry",,0,,True,"['Fiber-reinforced polymer composites', 'Thermochemical Biomass Conversion Processes', 'Flame retardant materials and properties']",Journal of Chromatography Open,10.1016/j.jcoa.2025.100301,"[{'name': 'Mass spectrometry', 'score': 0.6254000067710876}, {'name': 'Turbine', 'score': 0.5728999972343445}, {'name': 'Extraction (chemistry)', 'score': 0.5440999865531921}, {'name': 'Characterization (materials science)', 'score': 0.5382000207901001}, {'name': 'Turbine blade', 'score': 0.4253000020980835}, {'name': 'Gas chromatography', 'score': 0.41819998621940613}, {'name': 'Electron ionization', 'score': 0.4169999957084656}, {'name': 'Renewable energy', 'score': 0.40849998593330383}]"
98,journal-article,American Chemical Society (ACS),"Frye-Jones, Joseph W. and Anderson, Lissa C. and Robbins, Winston K. and Salvato Vallverdu, Germain and Tello Rodriguez, Alvaro J. and Hagan, Mason C. and Marshall, Alan G. and Bouyssiere, Brice and Giusti, Pierre and Rodgers, Ryan P. and Aguilera, Martha L.",2026,2-s2.0-105027304088,Weak Anion-Exchange Chromatography Coupled with FT-ICR MS Resolves Polarity-Driven Molecular Signatures in Natural and Anthropogenic Dissolved Organic Matter,601-610,0,,False,"['Analytical Chemistry and Chromatography', 'Toxic Organic Pollutants Impact', 'Petroleum Processing and Analysis']",Analytical Chemistry,10.1021/acs.analchem.5c05562,"[{'name': 'Chemistry', 'score': 0.9413999915122986}, {'name': 'Diethylamine', 'score': 0.6317999958992004}, {'name': 'Mass spectrometry', 'score': 0.580299973487854}, {'name': 'Environmental chemistry', 'score': 0.5799999833106995}, {'name': 'Amine gas treating', 'score': 0.4885999858379364}, {'name': 'Dissolved organic carbon', 'score': 0.428600013256073}, {'name': 'Organic matter', 'score': 0.4041000008583069}, {'name': 'Electrospray ionization', 'score': 0.40070000290870667}]"
23,journal-article,American Chemical Society (ACS),"Tiemann, Ole and Schwalb, Lukas and Hansen, Helly J. and Aguilera, Martha L. and Gröger, Thomas and Huy, Peter and Michalik, Dirk and Gayko, Guido and Rüger, Christopher P. and Zimmermann, Ralf",2026,2-s2.0-105026461443,Regulatory Challenges for Look-Alike and Sound-Alike Non-Biological Complex Drugs: Molecular Fingerprint Discrimination of Ichthammol Formulations,139-150,0,,False,"['Pharmaceutical Quality and Counterfeiting', 'Effects and risks of endocrine disrupting chemicals', 'Mass Spectrometry Techniques and Applications']",Molecular Pharmaceutics,10.1021/acs.molpharmaceut.5c00679,"[{'name': 'Chemistry', 'score': 0.6626999974250793}, {'name': 'Mass spectrometry', 'score': 0.5846999883651733}, {'name': 'Sulfuric acid', 'score': 0.4449999928474426}, {'name': 'Characterization (materials science)', 'score': 0.4255000054836273}, {'name': 'Sulfonate', 'score': 0.4027999937534332}, {'name': 'Ammonium', 'score': 0.37209999561309814}, {'name': 'Fatty acid', 'score': 0.33329999446868896}, {'name': 'Chromatography', 'score': 0.3314000070095062}]"
,journal-article,American Chemical Society (ACS),"Abdelgaid, Mona and Hvidsten, Oliver and Sombret, Théo and Kherchiche, Egon and Maillard, Julien and Gajan, Antonin and Bernard, Patrick and Kaźmierczak, Kamila and Araya-Polo, Mauricio and Salvato Vallverdu, Germain and Afonso, Carlos and Giusti, Pierre and Persson, Kristin A.",2026,2-s2.0-105036347097,Identification of Solid-Electrolyte Interphase Species by Joint Characterization of Li-Ion Battery Chemistry by Mass Spectrometry and Electrochemical Reaction Networks,,0,,True,"['Advanced Battery Materials and Technologies', 'Advancements in Battery Materials', 'Advanced battery technologies research']",Journal of the American Chemical Society,10.1021/jacs.6c04755,"[{'name': 'Chemistry', 'score': 0.9638000130653381}, {'name': 'Interphase', 'score': 0.7462000250816345}, {'name': 'Characterization (materials science)', 'score': 0.7081000208854675}, {'name': 'Mass spectrometry', 'score': 0.6671000123023987}, {'name': 'Electrochemistry', 'score': 0.6590999960899353}, {'name': 'Battery (electricity)', 'score': 0.5752999782562256}, {'name': 'Joint (building)', 'score': 0.5289999842643738}, {'name': 'Identification (biology)', 'score': 0.491100013256073}]"
49,journal-article,Wiley,"Imhoff, Théo and Devaux, Jason and Deschamps, Estelle and Vievard, Juliette and Brandão, Pedro F. and Afonso, Carlos and Duarte, Regina M. B. O. and Mignot, Mélanie",2026,2-s2.0-105028227558,Combining Fractionation and High-Resolution Mass Spectrometry Approaches to Characterize a Bio-Oil From Flax Shive Pyrolysis,,0,,True,"['Agricultural Engineering and Mechanization', 'Phytoestrogen effects and research', 'Natural Fiber Reinforced Composites']",Journal of Separation Science,10.1002/jssc.70354,"[{'name': 'Orbitrap', 'score': 0.8432999849319458}, {'name': 'Mass spectrometry', 'score': 0.7184000015258789}, {'name': 'Chemistry', 'score': 0.6730999946594238}, {'name': 'Characterization (materials science)', 'score': 0.6453999876976013}, {'name': 'Fractionation', 'score': 0.640500009059906}, {'name': 'Context (archaeology)', 'score': 0.5935999751091003}, {'name': 'Pyrolysis', 'score': 0.5601999759674072}, {'name': 'Chromatography', 'score': 0.5338000059127808}]"
97,journal-article,American Chemical Society (ACS),"Rodgers, Ryan P. and Hendrickson, Christopher L. and Holder Montenegro, Christopher A. and Tello-Rodriguez, Alvaro J. and Potu, Teja and Shung, Benjohn and Hagan, Mason and Weisbrod, Chad R. and Giusti, Pierre and Rüger, Christopher P. and Aguilera, Martha L. and Vallverdu, Germain Salvato",2025,2-s2.0-105015040144,Internal Calibration without Internal Calibrants by Mass Difference Analysis in FT-ICR Mass Spectrometry,18543-18552,1,,False,"['Mass Spectrometry Techniques and Applications', 'Analytical Chemistry and Chromatography', 'Metabolomics and Mass Spectrometry Studies']",Analytical Chemistry,10.1021/acs.analchem.5c02420,"[{'name': 'Chemistry', 'score': 0.9530629515647888}, {'name': 'Mass spectrometry', 'score': 0.7244253754615784}, {'name': 'Calibration', 'score': 0.6259627342224121}, {'name': 'Analytical Chemistry (journal)', 'score': 0.444225937128067}, {'name': 'Chromatography', 'score': 0.345755398273468}, {'name': 'Statistics', 'score': 0.062125593423843384}, {'name': 'Mathematics', 'score': 0.0}]"
8,journal-article,Wiley,"Maillard, Julien and Gajan, Antonin and Mase, Charlotte and Demeaux, Julien and Serve, Olivier and Mariette, Sandra and Afonso de Araujo, Ludivine and Oulyadi, Hassan and Afonso, Carlos and Giusti, Pierre",2025,2-s2.0-105002616066,Advanced Characterization of Lithium-Ion Battery Electrolytes Using Ultra-high Resolution Mass Spectrometry and Nuclear Magnetic Resonance Spectroscopy,,2,,True,"['Extraction and Separation Processes', 'Advancements in Battery Materials', 'Advanced NMR Techniques and Applications']",Batteries &amp; Supercaps,10.1002/batt.202500024,"[{'name': 'Mass spectrometry', 'score': 0.718246340751648}, {'name': 'Characterization (materials science)', 'score': 0.6540476083755493}, {'name': 'Lithium (medication)', 'score': 0.5652647614479065}, {'name': 'Ion', 'score': 0.550259530544281}, {'name': 'Spectroscopy', 'score': 0.5273935198783875}, {'name': 'Resolution (logic)', 'score': 0.4726925194263458}, {'name': 'Analytical Chemistry (journal)', 'score': 0.47093310952186584}, {'name': 'Materials science', 'score': 0.462485134601593}]"
44,journal-article,Wiley,"Mase, Charlotte and Sueur, Maxime and Lavanant, Hélène and Rüger, Christopher Paul and Giusti, Pierre and Afonso, Carlos",2025,2-s2.0-85206194711,Ion Source Complementarity for Characterization of Complex Organic Mixtures Using Fourier Transform Mass Spectrometry: A Review,808-829,7,,True,"['Mass Spectrometry Techniques and Applications', 'Analytical Chemistry and Chromatography', 'Analytical chemistry methods development']",Mass Spectrometry Reviews,10.1002/mas.21910,"[{'name': 'Chemistry', 'score': 0.9565919041633606}, {'name': 'Mass spectrometry', 'score': 0.681906521320343}, {'name': 'Characterization (materials science)', 'score': 0.6222699284553528}, {'name': 'Fourier transform ion cyclotron resonance', 'score': 0.6104824542999268}, {'name': 'Fourier transform', 'score': 0.5603212714195251}, {'name': 'Complementarity (molecular biology)', 'score': 0.5283477902412415}, {'name': 'Analytical Chemistry (journal)', 'score': 0.5122258067131042}, {'name': 'Ion', 'score': 0.4723535478115082}]"
36,journal-article,American Chemical Society (ACS),"Sombret, Théo and Kherchiche, Egon and Hubert-Roux, Marie and Gajan, Antonin and Maillard, Julien and Afonso, Carlos and Giusti, Pierre",2025,2-s2.0-105006827218,Matrix-Assisted Laser Desorption Ionization Mass Spectrometry: An Efficient Approach to Monitor Lithium-Ion Battery Electrolyte Degradation while Preserving Analyte Integrity,1553-1560,1,,False,"['Mass Spectrometry Techniques and Applications', 'Advanced Battery Technologies Research', 'Advancements in Battery Materials']",Journal of the American Society for Mass Spectrometry,10.1021/jasms.5c00106,"[{'name': 'Chemistry', 'score': 0.9036082625389099}, {'name': 'Analyte', 'score': 0.7422688603401184}, {'name': 'Electrolyte', 'score': 0.6663384437561035}, {'name': 'Mass spectrometry', 'score': 0.6435272693634033}, {'name': 'Lithium (medication)', 'score': 0.6018549799919128}, {'name': 'Matrix-assisted laser desorption/ionization', 'score': 0.5392293930053711}, {'name': 'Desorption', 'score': 0.515328586101532}, {'name': 'Soft laser desorption', 'score': 0.5056164264678955}]"
